기준_월,기준_일,행정동_명,시군구_코드,행정동_코드,서비스인구,주거인구,직장인구,방문인구,총 인구
2,1,내외동,48250,4825054000,80098,61855.02717,8272.15779,9970.815036,80098
2,2,내외동,48250,4825054000,86361,66691.57784,8918.971995,10750.45017,86361
2,3,내외동,48250,4825054000,86568,66851.4319,8940.350015,10776.21808,86568
2,4,내외동,48250,4825054000,85819,66273.02276,8862.996696,10682.98054,85819
2,5,내외동,48250,4825054000,86321,66660.68817,8914.840977,10745.47086,86321
2,6,내외동,48250,4825054000,86569,66852.20414,8940.453291,10776.34257,86569
2,7,내외동,48250,4825054000,85934,66361.83057,8874.873374,10697.29605,85934
2,8,내외동,48250,4825054000,85551,66066.06195,8835.318873,10649.61918,85551
2,9,내외동,48250,4825054000,85552,66066.83419,8835.422148,10649.74366,85552
2,10,내외동,48250,4825054000,85628,66125.52457,8843.271083,10659.20435,85628
2,11,내외동,48250,4825054000,85931,66359.51385,8874.563548,10696.92261,85931
2,12,내외동,48250,4825054000,86122,66507.01204,8894.28916,10720.6988,86122
2,13,내외동,48250,4825054000,85335,65899.25771,8813.011373,10622.73092,85335
2,14,내외동,48250,4825054000,86028,66434.42131,8884.581267,10708.99743,86028
2,15,내외동,48250,4825054000,85535,66053.70608,8833.666465,10647.62746,85535
2,16,내외동,48250,4825054000,86151,66529.40705,8897.284149,10724.3088,86151
2,17,내외동,48250,4825054000,85773,66237.49964,8858.246025,10677.25434,85773
2,18,내외동,48250,4825054000,86045,66447.54942,8886.33695,10711.11363,86045
2,19,내외동,48250,4825054000,83085,64161.71356,8580.641589,10342.64485,83085
2,20,내외동,48250,4825054000,82800,63941.62463,8551.208082,10307.16728,82800
2,21,내외동,48250,4825054000,83490,64474.47151,8622.46815,10393.06034,83490
2,22,내외동,48250,4825054000,82922,64035.83814,8563.807689,10322.35417,82922
2,23,내외동,48250,4825054000,83119,64187.96978,8584.152954,10346.87726,83119
2,24,내외동,48250,4825054000,82417,63645.85601,8511.653581,10259.49041,82417
2,25,내외동,48250,4825054000,83160,64219.6317,8588.387248,10351.98105,83160
2,26,내외동,48250,4825054000,83632,64584.12985,8637.133265,10410.73689,83632
2,27,내외동,48250,4825054000,79933,61727.60727,8255.117339,9950.275391,79933
2,28,내외동,48250,4825054000,82128,63422.67812,8481.806973,10223.51491,82128
2,1,대동면,48250,4825037000,18923,8473.999616,2692.269766,7756.730618,18923
2,2,대동면,48250,4825037000,14333,6418.529646,2039.22753,5875.242824,14333
2,3,대동면,48250,4825037000,10943,4900.437446,1556.915291,4485.647263,10943
2,4,대동면,48250,4825037000,10842,4855.208151,1542.545516,4444.246333,10842
2,5,대동면,48250,4825037000,11908,5332.578736,1694.210663,4881.210601,11908
2,6,대동면,48250,4825037000,12144,5438.263031,1727.787562,4977.949407,12144
2,7,대동면,48250,4825037000,10410,4661.752154,1481.082717,4267.165129,10410
2,8,대동면,48250,4825037000,10699,4791.170633,1522.200192,4385.629175,10699
2,9,대동면,48250,4825037000,10810,4840.878077,1537.992716,4431.129207,10810
2,10,대동면,48250,4825037000,10754,4815.800448,1530.025316,4408.174236,10754
2,11,대동면,48250,4825037000,11302,5061.202962,1607.992015,4632.805023,11302
2,12,대동면,48250,4825037000,13035,5837.266025,1854.554584,5343.179391,13035
2,13,대동면,48250,4825037000,13172,5898.616654,1874.046259,5399.337087,13172
